id;Kanji;Grade;"Reading within Joyo";"Reading beyond Joyo";"On within Joyo";"Translation of On";"Kun within Joyo";"Translation of Kun";Left1sound;Left2sound;Left3sound;Left4sound;Left5sound;Left6sound;Right1sound;Right2sound;Right3sound;Right4sound;Right5sound;Right6sound;Right7sound
1184;腺;7;セン;;sen;gland;-;-;sen;;;;;;sen;;;;;;
1696;被;7;ヒ、こうむ-る;かず、かぶ;hi;receiving;koomu(ru);"get, receive, sustain (an injury), be subjected to (criticism)";hi;;;;;;pi;;;;;;
1952;冶;7;ヤ;;ya;melting;-;-;ya;;;;;;ya;;;;;;
161;稼;7;カ、かせ-ぐ;;ka;"work, earn money";kase(gu);"work, earn money";ka;;;;;;;;;;;;
673;恨;7;コン、うら-む、うら-めしい;;kon;"bear a grudge, show resentment";"ura(mu), ura(meshii)";"bear a grudge, show resentment, hateful, bitter";;;;;;;kon;;;;;;
929;俊;7;シュン;;shun;"excellence, genius";-;-;syun;;;;;;syun;;;;;;
1185;詮;7;セン;;sen;"discussion; selection; methods called for; result, effect";-;-;sen;;;;;;;;;;;;
418;響;7;キョウ、ひび-く;;kyoo;"sound, resound, reverberate, echo, ring, vibrate; grate on; affect, find an echo in; become known";hibi(ku);"sound, resound, reverberate, echo, ring, vibrate; grate on; affect, find an echo in; become known";;;;;;;kyoo;;;;;;
1186;践;7;セン;ふ;sen;"step on, trample on, stamp on; carry through, practice; appraise; set foot on; evade payment";-;-;sen;;;;;;sen;;;;;;
1698;扉;7;ヒ、とびら;;hi;"door; title page, front page";tobira;"door; title page, front page";tobira;;;;;;pi;;;;;;
163;蚊;7;か;;-;-;ka;mosquito;ka;;;;;;;;;;;;
419;驚;7;キョウ、おどろ-く、おどろ-かす;;kyoo;"be surprised; be frightened, be taken aback; be appalled; be amazed";"odoro(ku), odoro(kasu)";"be surprised; be frightened, be taken aback; be appalled; be amazed; surprise; frighten; create a stir";kyoo;;;;;;kyoo;;;;;;
675;婚;7;コン;;kon;marriage;-;-;kon;;;;;;kon;;;;;;
931;瞬;7;シュン、またた-く;;shun;"wink, blink";matata(ku);"wink, twinkle, flicker";syun;;;;;;syun;;;;;;
1187;箋;7;セン;;sen;"paper; label; letter; composition";-;-;;;;;;;sen;;;;;;
1443;抵;7;テイ;;tei;"touch, reach, resist";-;-;tei;;;;;;tei;;;;;;
1955;弥;7;や;ビ、ミ、わた;-;-;ya;"all the more, increasingly";ya;mi;bi;;;;;;;;;;
164;牙;7;ガ、[ゲ]、きば;;"ga, [ge]";"tusk, fang, canine tooth, eyetooth";kiba;"tusk, fang, canine tooth, eyetooth";ga;;;;;;ge;ga;;;;;
420;仰;7;ギョウ、[コウ]、あお-ぐ、おお-せ;;"gyoo, [koo]";"look up; look up to; ask for, depend on; seek; respect, revere; drink, take";"ao(gu), oo(se)";"look up; look up to; ask for, depend on; seek; respect, revere; drink, take; statement, command, wishes (of a superior)";gyoo;;;;;;koo;gyoo;goo;;;;
932;旬;7;ジュン、[シュン];;"jun, [shun]";"ten-day period. season (for specific products)";-;-;zyun;;;;;;zyun;;;;;;
1444;邸;7;テイ;やしき;tei;"mansion, residence";-;-;tei;;;;;;tei;;;;;;
1700;碑;7;ヒ;いしぶみ;hi;"monument, tombstone";-;-;hi;;;;;;hi;pi;;;;;
1956;厄;7;ヤク;;yaku;"misfortune, bad luck, evil, disaster";-;-;yaQ;yaku;;;;;yaku;;;;;;
165;瓦;7;ガ、かわら;;ga;tile;kawara;tile;ga;kawara;;;;;ga;;;;;;
421;暁;7;ギョウ、あかつき;キョウ;gyoo;"dawn, daybrake; in the event (of)";akatsuki;"dawn, daybrake; in the event (of)";gyoo;akatuki;;;;;gyoo;;;;;;
